Fuel Type,Model Year,Engine Size,Cylinders,Fuel Consumption City
Diesel,1995,6.5,8.0,15.4
Diesel,1995,6.5,8.0,16.1
Reg. Gasoline,1995,5.7,8.0,20.0
Reg. Gasoline,1995,4.3,6.0,16.5
Reg. Gasoline,1995,4.3,6.0,16.3
Reg. Gasoline,1995,4.3,6.0,16.1
Reg. Gasoline,1995,5.0,8.0,17.9
Reg. Gasoline,1995,5.0,8.0,20.4
Reg. Gasoline,1995,5.7,8.0,20.7
Reg. Gasoline,1995,5.7,8.0,21.9
Reg. Gasoline,1995,5.7,8.0,20.7
Diesel,1995,6.5,8.0,15.4
Diesel,1995,6.5,8.0,15.5
Diesel,1995,6.5,8.0,16.4
Reg. Gasoline,1995,4.3,6.0,16.5
Reg. Gasoline,1995,5.0,8.0,18.9
Reg. Gasoline,1995,5.7,8.0,20.8
Diesel,1995,6.5,8.0,15.6
Reg. Gasoline,1995,4.3,6.0,18.3
Reg. Gasoline,1995,5.0,8.0,19.3
Reg. Gasoline,1995,5.7,8.0,20.8
Reg. Gasoline,1995,5.7,8.0,20.0
Reg. Gasoline,1995,4.3,6.0,18.3
Reg. Gasoline,1995,5.7,8.0,20.8
Reg. Gasoline,1995,4.3,6.0,18.0
Reg. Gasoline,1995,4.3,6.0,17.7
Reg. Gasoline,1995,4.3,6.0,18.2
Reg. Gasoline,1995,5.0,8.0,19.6
Reg. Gasoline,1995,5.0,8.0,21.4
Reg. Gasoline,1995,5.7,8.0,20.3
Reg. Gasoline,1995,5.7,8.0,22.9
Reg. Gasoline,1995,5.7,8.0,21.4
Diesel,1995,6.5,8.0,16.7
Diesel,1995,6.5,8.0,15.7
Diesel,1995,6.5,8.0,17.4
Reg. Gasoline,1995,5.7,8.0,23.3
Reg. Gasoline,1995,5.7,8.0,20.7
Reg. Gasoline,1995,5.7,8.0,22.7
Reg. Gasoline,1995,4.3,6.0,18.0
Reg. Gasoline,1995,4.3,6.0,17.7
Reg. Gasoline,1995,4.3,6.0,18.2
Reg. Gasoline,1995,5.0,8.0,19.6
Reg. Gasoline,1995,5.0,8.0,21.4
Reg. Gasoline,1995,5.7,8.0,20.6
Reg. Gasoline,1995,5.7,8.0,22.7
Reg. Gasoline,1995,5.7,8.0,21.6
Diesel,1995,6.5,8.0,16.7
Diesel,1995,6.5,8.0,16.2
Diesel,1995,6.5,8.0,17.4
Prm. Gasoline,1995,4.3,6.0,16.8
Prm. Gasoline,1995,4.3,6.0,17.0
Prm. Gasoline,1995,4.3,6.0,17.2
Prm. Gasoline,1995,4.3,6.0,17.2
Reg. Gasoline,1995,2.2,4.0,13.4
Reg. Gasoline,1995,2.2,4.0,12.1
Reg. Gasoline,1995,4.3,6.0,15.2
Reg. Gasoline,1995,4.3,6.0,16.7
Prm. Gasoline,1995,4.3,6.0,16.7
Prm. Gasoline,1995,4.3,6.0,17.0
Reg. Gasoline,1995,4.3,6.0,16.1
Reg. Gasoline,1995,4.3,6.0,17.2
Prm. Gasoline,1995,4.3,6.0,17.0
Prm. Gasoline,1995,4.3,6.0,17.2
Prm. Gasoline,1995,4.3,6.0,16.8
Prm. Gasoline,1995,4.3,6.0,17.2
Prm. Gasoline,1995,4.3,6.0,17.0
Prm. Gasoline,1995,4.3,6.0,17.9
Reg. Gasoline,1995,2.2,4.0,11.7
Reg. Gasoline,1995,2.2,4.0,10.9
Reg. Gasoline,1995,2.2,4.0,11.6
Reg. Gasoline,1995,2.2,4.0,11.0
Reg. Gasoline,1995,2.7,6.0,14.0
Reg. Gasoline,1995,2.2,4.0,12.5
Reg. Gasoline,1995,2.2,4.0,11.1
Reg. Gasoline,1995,1.5,4.0,9.8
Reg. Gasoline,1995,1.5,4.0,7.8
Reg. Gasoline,1995,1.6,4.0,10.8
Reg. Gasoline,1995,1.6,4.0,9.6
Reg. Gasoline,1995,1.6,4.0,10.8
Reg. Gasoline,1995,1.6,4.0,9.6
Prm. Gasoline,1995,1.6,4.0,10.5
Reg. Gasoline,1995,2.2,4.0,13.2
Prm. Gasoline,1995,2.3,4.0,12.3
Prm. Gasoline,1995,2.3,4.0,11.9
Prm. Gasoline,1995,2.2,4.0,12.3
Reg. Gasoline,1995,1.5,4.0,9.8
Reg. Gasoline,1995,1.5,4.0,9.3
Reg. Gasoline,1995,1.6,4.0,12.1
Reg. Gasoline,1995,1.8,4.0,11.9
Reg. Gasoline,1995,1.8,4.0,12.5
Reg. Gasoline,1995,1.5,4.0,10.3
Reg. Gasoline,1995,1.5,4.0,9.2
Reg. Gasoline,1995,1.5,4.0,9.7
Reg. Gasoline,1995,2.0,4.0,12.2
Reg. Gasoline,1995,2.0,4.0,12.3
Reg. Gasoline,1995,3.0,6.0,14.5
Reg. Gasoline,1995,2.0,4.0,12.0
Reg. Gasoline,1995,2.0,4.0,11.3
Prm. Gasoline,1995,3.0,6.0,14.5
Prm. Gasoline,1995,4.5,8.0,15.5
Reg. Gasoline,1995,3.2,6.0,17.2
Reg. Gasoline,1995,3.2,6.0,17.3
Reg. Gasoline,1995,3.2,6.0,18.0
Reg. Gasoline,1995,3.2,6.0,18.0
Reg. Gasoline,1995,3.2,6.0,18.9
Prm. Gasoline,1995,4.0,6.0,15.1
Prm. Gasoline,1995,6.0,12.0,21.8
Prm. Gasoline,1995,4.0,6.0,15.1
Prm. Gasoline,1995,4.0,6.0,17.9
Prm. Gasoline,1995,4.0,6.0,14.5
Prm. Gasoline,1995,4.0,6.0,14.8
Prm. Gasoline,1995,6.0,12.0,21.2
Prm. Gasoline,1995,6.0,12.0,21.5
Reg. Gasoline,1995,2.5,4.0,15.4
Reg. Gasoline,1995,2.5,4.0,13.4
Reg. Gasoline,1995,4.0,6.0,17.3
Reg. Gasoline,1995,4.0,6.0,15.9
Reg. Gasoline,1995,2.5,4.0,15.7
Reg. Gasoline,1995,2.5,4.0,14.4
Reg. Gasoline,1995,4.0,6.0,17.8
Reg. Gasoline,1995,4.0,6.0,17.1
Reg. Gasoline,1995,4.0,6.0,17.1
Reg. Gasoline,1995,4.0,6.0,17.8
Reg. Gasoline,1995,5.2,8.0,19.0
Reg. Gasoline,1995,2.5,4.0,15.9
Reg. Gasoline,1995,2.5,4.0,14.4
Reg. Gasoline,1995,4.0,6.0,17.8
Reg. Gasoline,1995,4.0,6.0,17.1
Prm. Gasoline,1995,3.9,8.0,20.3
Prm. Gasoline,1995,3.9,8.0,21.4
Prm. Gasoline,1995,4.2,8.0,21.6
Reg. Gasoline,1995,3.0,6.0,13.3
Prm. Gasoline,1995,3.0,6.0,15.1
Prm. Gasoline,1995,4.0,8.0,14.4
Prm. Gasoline,1995,4.0,8.0,14.4
Prm. Gasoline,1995,4.6,8.0,15.0
Reg. Gasoline,1995,4.6,8.0,15.1
Reg. Gasoline,1995,1.5,4.0,10.4
Reg. Gasoline,1995,1.5,4.0,8.9
Reg. Gasoline,1995,2.0,4.0,12.1
Reg. Gasoline,1995,2.0,4.0,10.8
Prm. Gasoline,1995,2.5,6.0,14.3
Prm. Gasoline,1995,2.5,6.0,13.3
Reg. Gasoline,1995,1.8,4.0,11.9
Reg. Gasoline,1995,1.8,4.0,10.4
Reg. Gasoline,1995,1.6,4.0,11.0
Reg. Gasoline,1995,1.6,4.0,9.8
Prm. Gasoline,1995,3.0,6.0,14.8
Reg. Gasoline,1995,2.3,4.0,13.0
Reg. Gasoline,1995,2.3,4.0,12.3
Reg. Gasoline,1995,3.0,6.0,14.8
Reg. Gasoline,1995,3.0,6.0,14.8
Prm. Gasoline,1995,2.3,6.0,13.7
Prm. Gasoline,1995,2.5,6.0,13.7
Reg. Gasoline,1995,2.6,4.0,15.1
Reg. Gasoline,1995,3.0,6.0,17.7
Reg. Gasoline,1995,3.0,6.0,18.7
Reg. Gasoline,1995,1.8,6.0,13.8
Reg. Gasoline,1995,1.8,6.0,12.1
Reg. Gasoline,1995,1.6,4.0,10.9
Reg. Gasoline,1995,1.6,4.0,9.5
Reg. Gasoline,1995,1.8,4.0,12.2
Reg. Gasoline,1995,1.8,4.0,12.2
Reg. Gasoline,1995,2.0,4.0,12.1
Reg. Gasoline,1995,2.0,4.0,10.8
Prm. Gasoline,1995,2.5,6.0,14.3
Prm. Gasoline,1995,2.5,6.0,13.3
Reg. Gasoline,1995,1.5,4.0,10.4
Reg. Gasoline,1995,1.5,4.0,9.1
Reg. Gasoline,1995,1.8,4.0,11.9
Reg. Gasoline,1995,1.8,4.0,10.4
Reg. Gasoline,1995,1.8,4.0,11.3
Reg. Gasoline,1995,1.8,4.0,10.1
Prm. Gasoline,1995,1.3,2.0,15.7
Prm. Gasoline,1995,2.2,4.0,11.7
Prm. Gasoline,1995,2.8,6.0,13.5
Diesel,1995,3.0,6.0,10.3
Prm. Gasoline,1995,3.2,6.0,13.4
Prm. Gasoline,1995,3.2,6.0,14.7
Prm. Gasoline,1995,3.2,6.0,13.4
Prm. Gasoline,1995,3.2,6.0,14.5
Prm. Gasoline,1995,4.2,8.0,14.9
Prm. Gasoline,1995,3.2,6.0,15.4
Prm. Gasoline,1995,3.2,6.0,15.4
Diesel,1995,3.5,6.0,12.6
Prm. Gasoline,1995,4.2,8.0,17.0
Prm. Gasoline,1995,5.0,8.0,17.7
Prm. Gasoline,1995,5.0,8.0,17.4
Prm. Gasoline,1995,6.0,12.0,20.6
Prm. Gasoline,1995,6.0,12.0,20.6
