Model Year,Make,Model,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,Fuel Consumption Comb (mpg),CO2 Emissions
2002,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,A4,Diesel,8.1,5.9,7.1,40.0,192
2002,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2003,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.8,7.1,40.0,192
2003,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2003,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,A4,Diesel,8.1,5.8,7.1,40.0,192
2003,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2003,VOLKSWAGEN,JETTA WAGON TDI DIESEL,STATION WAGON - SMALL,1.9,4.0,A4,Diesel,8.2,5.9,7.2,39.0,194
2003,VOLKSWAGEN,JETTA WAGON TDI DIESEL,STATION WAGON - SMALL,1.9,4.0,M5,Diesel,6.7,5.2,6.1,46.0,165
2003,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,A4,Diesel,8.1,6.0,7.2,39.0,194
2003,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,M5,Diesel,6.7,5.4,6.1,46.0,165
2004,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,AS5,Diesel,8.3,5.9,7.2,39.0,194
2004,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
2004,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,AS5,Diesel,8.3,5.9,7.2,39.0,194
2004,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
2004,VOLKSWAGEN,JETTA WAGON TDI DIESEL,STATION WAGON - SMALL,1.9,4.0,AS5,Diesel,8.3,5.9,7.2,39.0,194
2004,VOLKSWAGEN,JETTA WAGON TDI DIESEL,STATION WAGON - SMALL,1.9,4.0,M5,Diesel,7.7,5.6,6.7,42.0,181
2004,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,AS6,Diesel,7.7,6.3,7.0,40.0,189
2004,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
2005,JEEP,LIBERTY 4X4,SUV,2.8,4.0,A5,Diesel,12.5,9.7,11.2,25.0,302
2005,MERCEDES-BENZ,E 320 CDI DIESEL,MID-SIZE,3.2,6.0,A5,Diesel,10.2,7.1,8.8,32.0,238
2005,SMART,FORTWO CDI,TWO-SEATER,0.8,3.0,A6,Diesel,5.7,4.7,5.2,54.0,140
2005,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,AS5,Diesel,8.5,6.0,7.4,38.0,200
2005,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
2005,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,AS5,Diesel,8.5,6.0,7.4,38.0,200
2005,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
2005,VOLKSWAGEN,JETTA WAGON TDI DIESEL,STATION WAGON - SMALL,1.9,4.0,AS5,Diesel,8.5,6.0,7.4,38.0,200
2005,VOLKSWAGEN,JETTA WAGON TDI DIESEL,STATION WAGON - SMALL,1.9,4.0,M5,Diesel,7.7,5.6,6.7,42.0,181
2005,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,AS6,Diesel,7.7,6.3,7.0,40.0,189
2005,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
2005,VOLKSWAGEN,PASSAT TDI DIESEL,MID-SIZE,2.0,4.0,AS5,Diesel,10.0,6.8,8.6,33.0,232
2005,VOLKSWAGEN,PASSAT WAGON TDI DIESEL,STATION WAGON - MID-SIZE,2.0,4.0,AS5,Diesel,10.0,6.8,8.6,33.0,232
2005,VOLKSWAGEN,TOUAREG TDI DIESEL,SUV,5.0,10.0,AS6,Diesel,15.4,10.9,13.4,21.0,362
2006,JEEP,LIBERTY 4X4 TURBO DIESEL,SUV,2.8,4.0,A5,Diesel,12.3,10.1,11.3,25.0,305
2006,MERCEDES-BENZ,E 320 CDI TURBO,MID-SIZE,3.2,6.0,A5,Diesel,10.2,7.1,8.8,32.0,238
2006,SMART,FORTWO CDI,TWO-SEATER,0.8,3.0,M6,Diesel,5.7,4.7,5.2,54.0,140
2006,SMART,FORTWO CDI CABRIOLET,TWO-SEATER,0.8,3.0,M6,Diesel,5.7,4.7,5.2,54.0,140
2006,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,AS5,Diesel,8.7,6.2,7.6,37.0,205
2006,VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
2006,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,AS6,Diesel,8.0,6.2,7.2,39.0,194
2006,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,M5,Diesel,7.8,6.3,7.1,40.0,192
2006,VOLKSWAGEN,JETTA WAGON TDI DIESEL,STATION WAGON - SMALL,1.9,4.0,AS5,Diesel,8.7,6.2,7.6,37.0,205
2006,VOLKSWAGEN,JETTA WAGON TDI DIESEL,STATION WAGON - SMALL,1.9,4.0,M5,Diesel,7.8,6.3,7.1,40.0,192
2006,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,AS6,Diesel,8.0,6.2,7.2,39.0,194
2006,VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4.0,M5,Diesel,7.4,5.6,6.6,43.0,178
2007,JEEP,GRAND CHEROKEE 4X4 CRD TURBO DIESEL,SUV,3.0,6.0,A5,Diesel,13.5,10.6,12.2,23.0,329
2007,MERCEDES-BENZ,E 320 CDI TURBO,MID-SIZE,3.0,6.0,A7,Diesel,10.3,7.1,8.9,32.0,240
2007,MERCEDES-BENZ,GL 320 CDI,SUV,3.0,6.0,A7,Diesel,13.1,10.1,11.7,24.0,316
2007,MERCEDES-BENZ,ML 320 CDI,SUV,3.0,6.0,A7,Diesel,12.5,9.6,11.2,25.0,302
2007,MERCEDES-BENZ,R 320 CDI,SUV,3.0,6.0,A7,Diesel,12.7,9.1,11.1,25.0,300
2008,JEEP,GRAND CHEROKEE 4X4 TURBO DIESEL,SUV,3.0,6.0,A5,Diesel,13.5,10.6,12.2,23.0,329
2008,MERCEDES-BENZ,E 320 BLUETEC TURBO,MID-SIZE,3.0,6.0,A7,Diesel,10.3,7.3,9.0,31.0,243
2008,MERCEDES-BENZ,GL 320 CDI 4MATIC TURBO,SUV,3.0,6.0,A7,Diesel,13.0,9.8,11.6,24.0,313
2008,MERCEDES-BENZ,ML 320 CDI 4MATIC TURBO,SUV,3.0,6.0,A7,Diesel,12.8,9.8,11.4,25.0,308
2008,MERCEDES-BENZ,R 320 CDI 4MATIC TURBO,SUV,3.0,6.0,A7,Diesel,12.8,9.7,11.4,25.0,308
2009,BMW,335d SEDAN,COMPACT,3.0,6.0,A6,Diesel,10.3,6.5,8.6,33.0,232
2009,BMW,X5 xDRIVE 35d,SUV,3.0,6.0,A6,Diesel,12.1,8.9,10.7,26.0,289
2009,MERCEDES-BENZ,E 320 BLUETEC,MID-SIZE,3.0,6.0,A7,Diesel,10.3,7.3,9.0,31.0,243
2009,MERCEDES-BENZ,GL 320 BLUETEC 4MATIC,SUV,3.0,6.0,A7,Diesel,13.9,10.4,12.3,23.0,332
2009,MERCEDES-BENZ,ML 320 BLUETEC 4MATIC,SUV,3.0,6.0,A7,Diesel,13.3,9.7,11.7,24.0,316
2009,MERCEDES-BENZ,R 320 BLUETEC 4MATIC,SUV,3.0,6.0,A7,Diesel,13.1,9.8,11.6,24.0,313
2009,VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4.0,AS6,Diesel,8.1,6.4,7.4,38.0,198
2009,VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4.0,M6,Diesel,8.3,6.1,7.3,39.0,196
2009,VOLKSWAGEN,JETTA WAGON TDI (modified),STATION WAGON - SMALL,2.0,4.0,AS6,Diesel,8.1,6.4,7.4,38.0,198
2009,VOLKSWAGEN,JETTA WAGON TDI (modified),STATION WAGON - SMALL,2.0,4.0,M6,Diesel,8.3,6.1,7.3,39.0,196
2010,AUDI,A3 TDI (modified),STATION WAGON - SMALL,2.0,4.0,AS6,Diesel,8.1,6.4,7.4,38.0,198
2010,AUDI,Q7 TDI (modified),SUV,3.0,6.0,AS6,Diesel,13.8,9.8,11.7,24.0,316
2010,BMW,335d,COMPACT,3.0,6.0,A6,Diesel,10.3,6.5,8.6,33.0,232
2010,BMW,X5 xDRIVE35d,SUV,3.0,6.0,A6,Diesel,12.1,8.9,10.7,26.0,289
2010,MERCEDES-BENZ,GL 350 BLUETEC,SUV,3.0,6.0,A7,Diesel,13.8,10.3,12.2,23.0,329
2010,MERCEDES-BENZ,ML 350 BLUETEC,SUV,3.0,6.0,A7,Diesel,12.6,9.5,11.2,25.0,302
2010,MERCEDES-BENZ,R 350 BLUETEC,SUV,3.0,6.0,A7,Diesel,13.0,9.7,11.5,25.0,311
2010,VOLKSWAGEN,GOLF TDI (modified),COMPACT,2.0,4.0,AS6,Diesel,8.1,6.4,7.4,38.0,198
2010,VOLKSWAGEN,GOLF TDI (modified),COMPACT,2.0,4.0,M6,Diesel,8.3,6.1,7.3,39.0,196
2010,VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4.0,AS6,Diesel,8.1,6.4,7.4,38.0,198
2010,VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4.0,M6,Diesel,8.3,6.1,7.3,39.0,196
2010,VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4.0,AS6,Diesel,8.1,6.4,7.4,38.0,198
2010,VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4.0,M6,Diesel,8.3,6.1,7.3,39.0,196
